Ag ,0.1
Al ,90510.3
As ,0.96
Au ,0.1
B ,4.1
Ba ,388
Be ,2
Bi ,0.1
Br ,0.3
Ca ,50743.7
Cd ,0.2
Ce ,127
Cl ,113
Co ,18.9
Cr ,20.9
Cs ,2.69
Cu ,18.8
Dy ,4.5
Er ,2.49
Eu ,1.21
F ,321
Fe ,50058.12
Ga ,19.4
Gd ,5.31
Ge ,1.8
Hf ,3.88
Hg ,0.3
Ho ,0.86
In ,0.3
Ir ,0.2
K ,16271.92
La ,70.4
Li ,19.9
Lu ,0.354
Mg ,22612.5
Mn ,983.615
Mo ,4.2
Na ,23221.47
Nb ,8.87
Nd ,41.4
Ni ,10.6
O ,464000
P ,733.152
Pb ,11.6
Pr ,12.4
Pt ,6
Rb ,79.7
Re ,0.0018
S ,2.6
Sb ,0.25
Sc ,26.9
Se ,0.05
Si ,273896.4
Sm ,6.57
Sn ,2
Sr ,284
Ta ,0.464
Tb ,0.773
Th ,31.3
Ti ,4526.225
Tl ,0.13
Tm ,0.354
U ,1.71
V ,190
W ,0.69
Y ,23.9
Yb ,2.38
Zn ,74
Zr ,144
