Li,430,60
Be,490,80
B,330,120
Na,28933,1484
Mg,21112,181
Al,68796,2117
Si,251048,7013
P,70,20
K,21584,830
Ca,52888,2144
Sc,530,20
Ti,450,42
V,440,20
Cr,400,80
Mn,590,20
Fe,98717,2332
Co,380,20
Ni,440,30
Cu,380,40
Zn,460,10
Ga,490,70
Ge,320,80
As,260,90
Se,20,16
Rb,356,4
Sr,447,5
Y,410,30
Zr,410,30
Nb,420,40
Mo,390,30
Ag,200,20
Cd,160,50
In,370,60
Sn,280,50
Sb,450,110
Cs,310,20
Ba,427,5
La,392,4
Ce,414,4
Pr,460,10
Nd,453,5
Sm,488,5
Eu,410,20
Gd,514,6
Tb,480,20
Dy,524,6
Ho,501,8
Er,595,6
Tm,500,20
Yb,520,5
Lu,518,6
Hf,395,7
Ta,390,40
W,430,50
Re,78.9,7.7
Ir,120,
Pt,30,
Au,7,
Tl,2,0.2
Pb,378,12
Bi,320,30
Th,380,20
U,420,30
Cl,1317,68
Br,300,
I,3.56,
