Si,206355,711.5975527
Ti,2278,29.01988645
Al,42177,235.0886142
Fe,82599,381.9936588
Mn,1404,24.31096351
Mg,128421,642.7765384
Ca,56104,438.2004658
Na,8428,179.8467795
K,365,15.88988476
P,116,9.757219881
Li,4.4,0.154781814
Be,0.065,0.001952889
Sc,27.9,0.958240861
V,167.8,3.165390899
Cr,2460,34.95261744
Co,88.9,1.320591289
Ni,886,11.29071839
Cu,43.5,1.306465909
Zn,61.2,2.096471925
Ga,8.79,0.159406074
Se,0.129333333,0.017848
Rb,0.96,0.048560468
Sr,16.1,0.360042942
Y,9.08,0.300905315
Zr,17,1.13815875
Nb,0.37,0.044388112
Sn,0.25,0.009258368
Sb,0.079,0.004964292
Cs,0.184,0.002849919
Ba,6.2,0.303324736
La,0.412,0.017078771
Ce,1.27,0.034108734
Pr,0.235,0.007779238
Nd,1.494,0.01915493
Sm,0.715,0.011362215
Eu,0.3,0.007094049
Gd,1.17,0.039838004
Tb,0.229,0.005660038
Dy,1.61,0.038240273
Ho,0.355,0.007671008
Er,1.041,0.014376721
Tm,0.155,0.00345763
Yb,1.009,0.024072502
Lu,0.148,0.004902326
Hf,0.551,0.02064302
Ta,0.0264,0.003006331
Pb,0.26,0.011278205
Th,0.031,0.002684533
U,0.012,0.002004971
