Ag,251,9
Al,10320,211
As,325,18
Au,23.6,1.7
B,350,56
Ba,452,9
Be,476,31
Bi,384,26
Br,93,
Ca,81475,1429.388222
Cd,270,16
Ce,453,8
Cl,419,67
Co,410,10
Cr,408,10
Cs,366,9
Cu,441,15
Dy,437,11
Er,455,14
Eu,447,12
Fe,458,9
Ga,433,13
Gd,449,12
Ge,447,78
Hf,435,12
Ho,449,12
In,434,19
K,464,21
La,440,10
Li,468,24
Lu,439,8
Mg,432,29
Mn,444,13
Mo,417,21
Na,99406.52819,2225.519288
Nb,465,34
Nd,430,8
Ni,458.7,4
P,413,46
Pb,426,1
Pd,1.21,0.44
Pr,448,7
Pt,3.12,0.08
Rb,425.7,1
Re,49.9,3.7
Rh,1.29,0.07
S,575,32
Sb,396,19
Sc,455,10
Se,138,42
Si,325807.5071,2337.213107
Sm,453,11
Sn,430,29
Sr,515.5,1
Ta,446,33
Tb,437,9
Te,302,
Th,457.2,1
Ti,452,10
Tl,59.6,2.8
Tm,435,10
U,461.5,1
V,450,9
W,444,29
Y,462,11
Yb,450,9
Zn,460,18
Zr,448,9
F,304,
