Si,283679,357
Ti,5005,55
Al,92345,501
Fe,46871,542
Mg,18862,151
Ca,42746,350
Na,30528,370
K,10236,80
P,758,9
Ag,0.082,0.008052
B,4.89,0.222
Ba,304.5,2.407
Be,1.227,0.02708
Ce,32.85,0.3033
Co,18.77,0.1578
Cr,40.86,0.4783
Cs,0.2304,0.002711
Cu,31,0.5238
Dy,2.708,0.03892
Er,1.471,0.02019
Eu,1.105,0.009335
Ga,19.65,0.2763
Gd,3.269,0.03089
Ge,1.298,0.04112
Hf,3.521,0.03949
Ho,0.5168,0.00601
In,0.0405,0.002123
La,15.51,0.122
Li,11.79,0.1139
Lu,0.1943,0.002525
Mn,733.3,5.553
Mo,1.007,0.0161
Nb,7.88,0.09792
Nd,16.69,0.1588
Ni,34.95,0.2936
Pb,9.168,0.1175
Pr,4.053,0.0435
Rb,18.26,0.1636
Sb,0.7566,0.02066
Sc,13.56,0.24
Sm,3.507,0.03402
Sn,1.55,0.05138
Sr,536.8,6.857
Ta,0.5003,0.008784
Tb,0.4627,0.005566
Th,2.471,0.02432
Tl,0.07393,0.002768
Tm,0.1996,0.003015
U,0.8565,0.009801
V,110,1.154
W,0.235,0.004798
Y,14.6,0.2557
Yb,1.325,0.01324
Zn,75.51,1.361
Zr,136,1.716
