Na,17805.6,741.9
Mg,42993.9,120.6
Al,71984.8,529.3
Si,230428.2,467.4
P,1265.56,87.28
K,4234.02,166.04
Ca,81475.8,714.7
Ti,16726.05,119.9
Mn,1316.65,232.35
Fe,87834.9,777.3
Li,4.4,0.8
Be,1.3,0.2
Sc,33,2
V,308,19
Cr,293,12
Co,44,2
Ni,116,7
Cu,127,11
Zn,102,6
Ga,22,3
Ge,1.6,0.1
Rb,9.2,0.04
Sr,396,1
Y,26,2
Zr,170,7
Nb,18.3,0.8
Mo,3.8,0.2
Cd,0.1,0.02
In,0.1,0.02
Sn,2.6,0.6
Sb,0.3,0.13
Cs,0.1,0.02
Ba,131,2
La,15.2,0.2
Ce,37.6,0.2
Pr,5.35,0.22
Nd,24.5,0.2
Sm,6.1,0.03
Eu,2.07,0.01
Gd,6.16,0.05
Tb,0.92,0.04
Dy,5.28,0.05
Ho,0.98,0.04
Er,2.56,0.02
Tm,0.34,0.02
Yb,2.01,0.02
Lu,0.279,0.003
Hf,4.32,0.18
Ta,1.15,0.1
W,0.23,0.04
Re,0.00047,0.00013
Pt,0.46,0.09
Pb,1.7,0.2
Bi,0.01,0.002
Th,1.22,0.05
U,0.403,0.003
