Ag;23;;;;;;;;
As;27;;;;;;;;
Au;4;;;;;;;;
B;50;;;;;;;;
Ba;67;;;;;;;;
Be;46;;;;;;;;
Bi;35;;;;;;;;
Cd;18;;;;;;;;
Ce;41.4;;;;;;;;
Co;40;;;;;;;;
Cr;42;;;;;;;;
Cs;32;;;;;;;;
Cu;42;;;;;;;;
Dy;51.2;;;;;;;;
Er;40.1;;;;;;;;
Eu;41;;;;;;;;
Ga;54;;;;;;;;
Gd;50.7;;;;;;;;
Ge;32;;;;;;;;
Hf;39;;;;;;;;
Ho;49;;;;;;;;
In;38;;;;;;;;
Ir;12;;;;;;;;
K;25300;;;;;;;;
La;39.1;;;;;;;;
Li;43;;;;;;;;
Lu;51.5;;;;;;;;
Mn;220;;;;;;;;
Mo;39;;;;;;;;
Nb;42;;;;;;;;
Nd;44.7;;;;;;;;
Ni;58;;;;;;;;
P;860;;;;;;;;
Pb;50;;;;;;;;
Pr;45;;;;;;;;
Pt;6;;;;;;;;
Rb;37.3;;;;;;;;
Sb;43;;;;;;;;
Sc;52;;;;;;;;
Se;2;;;;;;;;
Sm;47.8;;;;;;;;
Sn;29;;;;;;;;
Sr;69.4;;;;;;;;
Ta;40;;;;;;;;
Tb;47;;;;;;;;
Th;41;;;;;;;;
Tl;0.9;;;;;;;;
Tm;49;;;;;;;;
U;41;;;;;;;;
V;44;;;;;;;;
W;43;;;;;;;;
Y;42;;;;;;;;
Yb;50.9;;;;;;;;
Zn;54;;;;;;;;
Zr;42;;;;;;;;
Al;73301;;;;;;;;
Ca;51457;;;;;;;;
Fe;103382;;;;;;;;
Mg;21709;;;;;;;;
Na;26707;;;;;;;;
Si;248675;;;;;;;;
Ti;7432;;;;;;;;
