Na,101640.3,2225.7
Al,10797.72,264.65
Si,336995.4,4206.6
CaO,85049.3,1429.4
Li,1.69,0.09
Be,0.753,0.051
B,1.49,0.19
F,6.2,0
Mg,33.8,1.9
P,11.4,3.9
S,291,66
Cl,102,84
K,30,1
Sc,0.74,0
Ti,3.61,0.25
V,1.01,0.04
Cr,1.19,0.12
Mn,1.42,0.07
Fe,18.8,6
Co,0.79,0.09
Ni,1.1,0.1
Cu,1.37,0.07
Zn,2.79,0.38
Ga,1.31,0.09
Ge,0.942,0.096
As,0.74,0.23
Se,0.4,0.08
Rb,0.855,0.005
Sr,45.8,0.1
Y,0.79,0.032
Zr,0.848,0.028
Nb,0.824,0.03
Mo,0.8,0.03
Rh,1.54,0.18
Pd,2.05,0.1
Ag,0.42,0.04
Cd,0.56,0.05
In,0.79,0.05
Sn,1.68,0.15
Sb,0.79,0.064
Cs,0.664,0.034
Ba,3.2,0.09
La,0.72,0.013
Ce,0.813,0.025
Pr,0.768,0.015
Nd,0.752,0.014
Sm,0.754,0.013
Eu,0.77,0.016
Gd,0.763,0.021
Tb,0.739,0.02
Dy,0.746,0.022
Ho,0.749,0.015
Er,0.74,0.017
Tm,0.732,0.02
Yb,0.777,0.021
Lu,0.732,0.018
Hf,0.711,0.022
Ta,0.808,0.026
W,0.806,0.071
Re,0.17,0.008
Ir,0.002,0
Pt,2.36,0.12
Au,0.48,0.07
Tl,0.273,0.02
Pb,2.32,0.04
Bi,0.581,0.043
Th,0.748,0.006
U,0.823,0.002
